23:48:03.968 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
23:48:03.991 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeVersion=1.5, archetypeGroupId=com.browserstack, archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=VnrqBwTUcc91QYyiii7r, groupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=firdovsisgandaro1, BROWSERSTACK_FRAMEWORK=java, BUILD_NAME=browserstack build, version=1.0, PROJECT_NAME=BrowserStack Sample, BROWSERSTACK_SOURCE=java:eclipse:v1.0.10]
23:48:48.167 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
23:48:48.167 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:48:48.168 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/MavenProjectDemo
23:48:48.168 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
23:48:48.169 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:48:48.169 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/MavenProjectDemo
23:48:53.510 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
23:48:53.510 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:48:53.511 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/MavenProjectDemo
23:48:53.512 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
23:48:53.512 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:48:53.512 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/MavenProjectDemo
23:49:03.215 [Worker-7: Launching Executing clean in _Users_firdovsi_eclipse-workspace_MavenProjectDemo] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
23:49:09.414 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
23:49:09.414 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:49:09.415 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/MavenProjectDemo
23:49:09.415 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
23:49:09.415 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:49:09.416 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/MavenProjectDemo
23:49:10.888 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
23:49:10.888 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:49:10.888 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/MavenProjectDemo
23:49:10.889 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
23:49:10.889 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
23:49:10.889 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/MavenProjectDemo
